cr, increment, orig_acc, eda_acc, aeda_acc, num_acc, alpha_acc, hybrid_acc
pc, 0.05, 0.879607302790217, 0.8467102996899759, 0.8799517740268687, 0.8815018945918016, 0.8852910781949708, 0.8808129521184981
pc, 0.1, 0.891491560454702, 0.8629004478126077, 0.8933861522562866, 0.8920082673096796, 0.8892524974164657, 0.8878746124698588
pc, 0.2, 0.8985532208060627, 0.8759903548053738, 0.9042369962108164, 0.8988976920427144, 0.9032035825008612, 0.9076817085773338
pc, 0.3, 0.9107819497071995, 0.8892524974164657, 0.9090595935239407, 0.9109541853255253, 0.9050981743024458, 0.9125043058904582
pc, 0.4, 0.916637960730279, 0.8964863933861522, 0.9121598346538065, 0.910093007233896, 0.9162934894936273, 0.9171546675852567
pc, 0.5, 0.907509472959008, 0.8925249741646573, 0.9143988976920427, 0.9106097140888736, 0.9138821908370651, 0.916637960730279
pc, 0.6, 0.9118153634171546, 0.9014812263176025, 0.920599379951774, 0.9197382018601447, 0.919221495005167, 0.9161212538753014
pc, 0.7, 0.9199104374784706, 0.9004478126076473, 0.9214605580434033, 0.9119875990354805, 0.9218050292800551, 0.9223217361350328
pc, 0.8, 0.9181880812952119, 0.9037202893558388, 0.9226662073716845, 0.9197382018601447, 0.9223217361350328, 0.9204271443334482
pc, 0.9, 0.9235273854633138, 0.8963141577678264, 0.9252497416465725, 0.9242163279366173, 0.9238718566999655, 0.9257664485015501
pc, 1, 0.9219772648983809, 0.9099207716155701, 0.9255942128832243, 0.9188770237685153, 0.9214605580434033, 0.9278332759214606
