cr, 1, 0.811529933481153, 0.8248337028824834, 0.8137472283813747, 0.8137472283813747, 0.7982261640798226
cr, 3, 0.8070953436807096, 0.8203991130820399, 0.8137472283813747, 0.8159645232815964, 0.8070953436807096
cr, 6, 0.835920177383592, 0.8093126385809313, 0.811529933481153, 0.8203991130820399, 0.8181818181818182
cr, 9, 0.8248337028824834, 0.8181818181818182, 0.8181818181818182, 0.8226164079822617, 0.8292682926829268
cr, 12, 0.8159645232815964, 0.8381374722838137, 0.811529933481153, 0.8270509977827051, 0.8314855875831486
cr, 15, 0.8159645232815964, 0.7782705099778271, 0.8137472283813747, 0.8159645232815964, 0.8048780487804879
cr, 18, 0.8137472283813747, 0.7915742793791575, 0.8137472283813747, 0.8048780487804879, 0.835920177383592
cr, 20, 0.8004434589800443, 0.8337028824833703, 0.8270509977827051, 0.8292682926829268, 0.7893569844789357
sst2, 1, 0.814387699066447, 0.8363536518396485, 0.8319604612850082, 0.8154859967051071, 0.8193300384404174
sst2, 3, 0.828116419549698, 0.8303130148270181, 0.8347062053816584, 0.8336079077429983, 0.829214717188358
sst2, 6, 0.800109829763866, 0.8308621636463481, 0.8325096101043383, 0.8176825919824272, 0.8358045030203185
sst2, 9, 0.8363536518396485, 0.8319604612850082, 0.8407468423942889, 0.8385502471169687, 0.8319604612850082
sst2, 12, 0.8412959912136189, 0.8325096101043383, 0.7210323997803405, 0.8198791872597474, 0.8396485447556288
sst2, 15, 0.7918725974739155, 0.8099945085118067, 0.829214717188358, 0.8374519494783086, 0.8352553542009885
sst2, 18, 0.800109829763866, 0.8182317408017573, 0.842943437671609, 0.8374519494783086, 0.8198791872597474
sst2, 20, 0.8077979132344866, 0.8237232289950577, 0.8478857770455793, 0.8500823723228995, 0.8352553542009885
subj, 1, 0.92, 0.933, 0.921, 0.923, 0.918
subj, 3, 0.926, 0.937, 0.928, 0.918, 0.915
subj, 6, 0.914, 0.933, 0.931, 0.922, 0.927
subj, 9, 0.917, 0.933, 0.933, 0.933, 0.919
subj, 12, 0.924, 0.935, 0.933, 0.934, 0.929
subj, 15, 0.906, 0.922, 0.93, 0.93, 0.932
subj, 18, 0.915, 0.922, 0.929, 0.924, 0.93
subj, 20, 0.914, 0.925, 0.93, 0.928, 0.931
trec, 1, 0.72, 0.874, 0.87, 0.892, 0.864
trec, 3, 0.602, 0.892, 0.878, 0.898, 0.894
trec, 6, 0.612, 0.898, 0.868, 0.862, 0.89
trec, 9, 0.478, 0.906, 0.902, 0.904, 0.9
trec, 12, 0.694, 0.906, 0.894, 0.904, 0.898
trec, 15, 0.658, 0.91, 0.898, 0.912, 0.916
trec, 18, 0.7, 0.9, 0.9, 0.912, 0.912
trec, 20, 0.586, 0.91, 0.92, 0.912, 0.888
pc, 1, 0.9044092318291422, 0.9305890458146745, 0.9292111608680675, 0.9280055115397864, 0.9249052704099208
pc, 3, 0.9032035825008612, 0.9266276265931794, 0.9250775060282467, 0.9255942128832243, 0.928522218394764
pc, 6, 0.9047537030657941, 0.9262831553565277, 0.9254219772648984, 0.9228384429900104, 0.9214605580434033
pc, 9, 0.9044092318291422, 0.9250775060282467, 0.9264553909748536, 0.9274888046848088, 0.9209438511884258
pc, 12, 0.9054426455390975, 0.9247330347915949, 0.9212883224250775, 0.9199104374784706, 0.9226662073716845
