cr, numaug, eda_acc, aeda_acc, num_acc, alpha_acc, hybrid_acc
cr, orig_acc: 0.8137472283813747
cr, 1, 0.811529933481153, 0.7960088691796009, 0.8137472283813747, 0.8048780487804879, 0.7982261640798226
cr, 3, 0.811529933481153, 0.811529933481153, 0.8048780487804879, 0.811529933481153, 0.8226164079822617
cr, 6, 0.7893569844789357, 0.8248337028824834, 0.8137472283813747, 0.8004434589800443, 0.8137472283813747
cr, 9, 0.8248337028824834, 0.8381374722838137, 0.8203991130820399, 0.7937915742793792, 0.8270509977827051
cr, 12, 0.8070953436807096, 0.8181818181818182, 0.8070953436807096, 0.8203991130820399, 0.8203991130820399
cr, 15, 0.8159645232815964, 0.8137472283813747, 0.802660753880266, 0.7893569844789357, 0.811529933481153
cr, 18, 0.844789356984479, 0.8292682926829268, 0.8270509977827051, 0.8314855875831486, 0.802660753880266
cr, 20, 0.8248337028824834, 0.802660753880266, 0.8381374722838137, 0.8181818181818182, 0.8248337028824834

sst2, numaug, eda_acc, aeda_acc, num_acc, alpha_acc, hybrid_acc
sst2, orig_acc: 0.8347062053816584
sst2, 1, 0.8330587589236683, 0.8259198242723779, 0.8396485447556288, 0.828665568369028, 0.8303130148270181
sst2, 3, 0.8264689730917079, 0.8308621636463481, 0.8347062053816584, 0.8330587589236683, 0.8259198242723779
sst2, 6, 0.8352553542009885, 0.8385502471169687, 0.8467874794069192, 0.8303130148270181, 0.8325096101043383
sst2, 9, 0.8023064250411862, 0.8325096101043383, 0.842394288852279, 0.8319604612850082, 0.829763866007688
sst2, 12, 0.8237232289950577, 0.8171334431630972, 0.8132894014277869, 0.8330587589236683, 0.8511806699615596
sst2, 15, 0.7924217462932455, 0.8176825919824272, 0.8473366282262493, 0.8380010982976387, 0.8336079077429983
sst2, 18, 0.7742998352553542, 0.8363536518396485, 0.8358045030203185, 0.8253706754530478, 0.8369028006589786
sst2, 20, 0.8390993959362988, 0.8336079077429983, 0.8352553542009885, 0.8303130148270181, 0.8325096101043383

subj, numaug, eda_acc, aeda_acc, num_acc, alpha_acc, hybrid_acc
subj, orig_acc: 0.932
subj, 1, 0.924, 0.917, 0.917, 0.923, 0.915
subj, 3, 0.919, 0.923, 0.927, 0.919, 0.927
subj, 6, 0.911, 0.923, 0.927, 0.936, 0.929
subj, 9, 0.924, 0.931, 0.928, 0.924, 0.932
subj, 12, 0.925, 0.926, 0.936, 0.921, 0.932
subj, 15, 0.9, 0.929, 0.942, 0.929, 0.927
subj, 18, 0.923, 0.931, 0.93, 0.922, 0.928
subj, 20, 0.927, 0.937, 0.926, 0.932, 0.932

trec, numaug, eda_acc, aeda_acc, num_acc, alpha_acc, hybrid_acc
trec, orig_acc: 0.858
trec, 1, 0.652, 0.884, 0.874, 0.868, 0.848
trec, 3, 0.634, 0.886, 0.912, 0.89, 0.894
trec, 6, 0.582, 0.9, 0.892, 0.908, 0.904
trec, 9, 0.648, 0.908, 0.906, 0.92, 0.884
trec, 12, 0.708, 0.882, 0.914, 0.886, 0.894
trec, 15, 0.72, 0.9, 0.884, 0.912, 0.908
trec, 18, 0.786, 0.896, 0.914, 0.916, 0.906
trec, 20, 0.67, 0.916, 0.89, 0.9, 0.882

pc, numaug, eda_acc, aeda_acc, num_acc, alpha_acc, hybrid_acc
pc, orig_acc: 0.9257664485015501
pc, 1, 0.9097485359972443, 0.9307612814330003, 0.9264553909748536, 0.9257664485015501, 0.9193937306234929
pc, 3, 0.9064760592490527, 0.9288666896314158, 0.9174991388219084, 0.9267998622115053, 0.9238718566999655
pc, 6, 0.9011367550809507, 0.9274888046848088, 0.9233551498449879, 0.9228384429900104, 0.9243885635549431
pc, 9, 0.9059593523940751, 0.9312779882879779, 0.9242163279366173, 0.9266276265931794, 0.9257664485015501
pc, 12, 0.9009645194626249, 0.9261109197382018, 0.9262831553565277, 0.9226662073716845, 0.9212883224250775

